customer_id,age,service_segment,signup_channel,primary_device,tenure_months,contract_type,plan_tier,num_services,has_family_plan
CX00037,36,Fitness,Paid Social,Mobile,37,Annual,Basic,1,False
CX00038,50,Streaming,Paid Social,Desktop,20,Month-to-month,Standard,5,False
CX00039,31,Productivity,Paid Social,Mobile,28,Two year,Premium,3,True
CX00040,51,Cloud Storage,Influencer,Mobile,14,Month-to-month,Plus,7,False
CX00041,19,News & Media,App Store,Smart TV,16,Annual,Standard,2,False
CX00042,20,Productivity,Paid Social,Mobile,22,Month-to-month,Standard,3,True
CX00043,28,Gaming,App Store,Desktop,13,Month-to-month,Standard,3,False
CX00044,26,Streaming,Email Campaign,Mobile,26,Annual,Basic,3,False
CX00045,42,Fintech,Paid Social,Desktop,23,Month-to-month,Plus,4,False
CX00046,42,Fintech,Paid Social,Desktop,19,Month-to-month,Basic,4,False
CX00047,53,Fintech,App Store,Smart TV,17,Annual,Premium,3,False
CX00048,42,Productivity,Paid Social,Mobile,4,Month-to-month,Premium,5,True
CX00049,28,Fintech,Influencer,Desktop,18,Annual,Basic,2,False
CX00050,34,Cloud Storage,Referral,Mobile,6,Month-to-month,Basic,4,False
CX00051,35,Streaming,Organic Search,Mobile,23,Annual,Plus,5,False
CX00052,28,Fintech,Email Campaign,Mobile,13,Month-to-month,Plus,3,True
CX00053,18,Cloud Storage,Organic Search,Desktop,1,Month-to-month,Premium,6,False
CX00054,39,Streaming,Organic Search,Mobile,17,Month-to-month,Plus,2,True
CX00055,42,Gaming,App Store,Mobile,35,Month-to-month,Standard,3,False
CX00056,39,Fintech,Email Campaign,Mobile,33,Annual,Standard,4,True
CX00057,41,Fitness,Organic Search,Mobile,22,Annual,Basic,2,False
CX00058,56,News & Media,App Store,Desktop,14,Month-to-month,Basic,4,False
CX00059,33,Fintech,Organic Search,Mobile,5,Month-to-month,Plus,3,False
CX00060,51,Fitness,Referral,Desktop,5,Annual,Premium,3,False
CX00061,52,Cloud Storage,Organic Search,Mobile,8,Month-to-month,Standard,3,False
CX00062,36,Productivity,Referral,Mobile,7,Month-to-month,Standard,1,False
CX00063,56,News & Media,Email Campaign,Mobile,8,Month-to-month,Basic,2,True
CX00064,31,Streaming,Paid Social,Mobile,17,Month-to-month,Plus,4,True
CX00065,43,Fintech,Organic Search,Mobile,24,Two year,Basic,3,False
CX00066,30,Fintech,Influencer,Mobile,33,Two year,Basic,2,False
CX00067,50,Productivity,Organic Search,Mobile,4,Month-to-month,Basic,4,False
CX00068,26,Fintech,Organic Search,Desktop,4,Month-to-month,Standard,2,False
CX00069,43,Productivity,Referral,Mobile,48,Annual,Basic,2,False
CX00070,35,Streaming,Organic Search,Mobile,2,Month-to-month,Basic,2,False
CX00071,40,Productivity,App Store,Mobile,33,Annual,Premium,5,True
CX00072,38,Fintech,Referral,Desktop,20,Month-to-month,Plus,6,False
CX00073,34,Gaming,Organic Search,Mobile,27,Annual,Basic,1,False
CX00074,35,Cloud Storage,Email Campaign,Desktop,41,Two year,Premium,6,False
CX00075,26,Fitness,Influencer,Mobile,40,Two year,Basic,3,False
CX00076,29,Cloud Storage,Organic Search,Desktop,24,Annual,Premium,6,True
CX00077,46,Productivity,Email Campaign,Mobile,15,Month-to-month,Plus,6,True
CX00078,21,Fintech,Organic Search,Smart TV,34,Two year,Basic,2,False
CX00079,47,Fintech,Organic Search,Mobile,14,Month-to-month,Basic,2,True
CX00080,53,Productivity,Organic Search,Desktop,27,Month-to-month,Standard,5,False
CX00081,40,Gaming,App Store,Desktop,15,Month-to-month,Standard,2,False
CX00082,20,Streaming,Organic Search,Smart TV,11,Annual,Premium,8,False
CX00083,38,News & Media,App Store,Desktop,2,Month-to-month,Standard,1,False
CX00084,46,Fitness,App Store,Smart TV,49,Month-to-month,Standard,4,True
CX00085,35,News & Media,Influencer,Desktop,2,Month-to-month,Plus,6,False
CX00086,33,Gaming,Referral,Mobile,10,Annual,Standard,5,True
CX00087,54,Fitness,App Store,Smart TV,21,Month-to-month,Standard,1,True
CX00088,40,Cloud Storage,Organic Search,Mobile,38,Annual,Plus,4,True
CX00089,31,Streaming,Organic Search,Desktop,29,Annual,Standard,3,False
CX00090,20,Cloud Storage,App Store,Mobile,47,Two year,Standard,5,False
CX00091,26,Streaming,Organic Search,Desktop,15,Two year,Plus,2,False
CX00092,31,Fitness,Influencer,Mobile,8,Month-to-month,Standard,2,True
CX00093,19,Cloud Storage,Influencer,Mobile,51,Two year,Standard,7,False
CX00094,43,Streaming,Influencer,Mobile,14,Annual,Plus,5,False
CX00095,40,Gaming,App Store,Mobile,53,Annual,Basic,1,True
CX00096,23,Gaming,App Store,Desktop,34,Annual,Basic,2,False
CX00097,27,Streaming,Organic Search,Mobile,45,Month-to-month,Standard,2,False
CX00098,28,Fintech,Organic Search,Desktop,44,Two year,Plus,2,False
CX00099,25,Productivity,Paid Social,Mobile,14,Month-to-month,Basic,1,False
CX00100,25,Fintech,Organic Search,Desktop,13,Annual,Basic,2,False
CX00101,30,Streaming,Organic Search,Mobile,14,Annual,Standard,1,False
CX00102,52,Fitness,Referral,Desktop,12,Month-to-month,Basic,2,True
CX00103,36,Fintech,App Store,Tablet,23,Annual,Plus,6,True
CX00104,27,Streaming,Paid Social,Desktop,13,Month-to-month,Standard,3,False
CX00105,36,Cloud Storage,App Store,Desktop,13,Annual,Plus,4,False
CX00106,27,Cloud Storage,Influencer,Mobile,13,Month-to-month,Plus,4,False
CX00107,19,Fintech,Influencer,Desktop,43,Annual,Plus,4,True
CX00108,25,Streaming,Organic Search,Tablet,8,Annual,Plus,4,False
CX00109,59,Fitness,App Store,Mobile,27,Annual,Standard,3,False
CX00110,38,Fintech,Influencer,Mobile,22,Month-to-month,Standard,5,False
CX00111,41,Gaming,Organic Search,Mobile,14,Annual,Premium,1,False
CX00112,43,News & Media,Organic Search,Desktop,45,Month-to-month,Standard,4,True
CX00113,46,Fitness,Referral,Tablet,34,Annual,Plus,3,False
CX00114,38,Cloud Storage,App Store,Smart TV,10,Month-to-month,Standard,4,True
CX00115,36,Streaming,Email Campaign,Desktop,3,Month-to-month,Plus,3,False
CX00116,43,Gaming,Email Campaign,Tablet,8,Month-to-month,Plus,4,False
CX00117,38,News & Media,Organic Search,Desktop,19,Month-to-month,Standard,2,False
CX00118,59,Fintech,Organic Search,Desktop,12,Annual,Standard,4,False
CX00119,29,Productivity,Email Campaign,Desktop,9,Month-to-month,Plus,3,False
CX00120,32,Streaming,App Store,Mobile,23,Month-to-month,Basic,4,False
CX00121,36,Streaming,Organic Search,Mobile,21,Annual,Premium,5,True
CX00122,34,Fintech,Organic Search,Desktop,9,Two year,Basic,1,False
CX00123,49,News & Media,Influencer,Mobile,27,Month-to-month,Standard,3,False
CX00124,67,Productivity,Paid Social,Tablet,17,Month-to-month,Plus,3,True
CX00125,35,Productivity,Paid Social,Mobile,36,Month-to-month,Basic,2,False
CX00126,46,Cloud Storage,Paid Social,Desktop,10,Month-to-month,Standard,7,False
CX00127,29,Productivity,App Store,Smart TV,6,Annual,Standard,2,False
CX00128,26,Productivity,Paid Social,Desktop,15,Annual,Standard,4,False
CX00129,31,Fitness,Referral,Desktop,3,Month-to-month,Standard,4,False
CX00130,58,Streaming,Paid Social,Mobile,30,Annual,Basic,3,True
CX00131,48,Fitness,Referral,Smart TV,36,Two year,Basic,3,True
CX00132,51,Streaming,Referral,Desktop,21,Annual,Standard,3,False
CX00133,48,Streaming,Email Campaign,Desktop,37,Annual,Premium,4,False
CX00134,35,Fintech,Organic Search,Mobile,37,Two year,Standard,3,False
CX00135,29,Streaming,Organic Search,Mobile,6,Month-to-month,Basic,4,False
CX00136,26,Gaming,Referral,Tablet,19,Annual,Basic,2,False
CX00137,47,Cloud Storage,App Store,Mobile,36,Annual,Basic,5,False
CX00138,28,Productivity,Influencer,Mobile,20,Annual,Premium,5,True
CX00139,42,Productivity,Influencer,Smart TV,10,Month-to-month,Plus,2,False
CX00140,42,Fintech,App Store,Desktop,35,Annual,Standard,3,False
CX00141,58,News & Media,Paid Social,Desktop,45,Annual,Basic,3,False
CX00142,45,Streaming,Paid Social,Desktop,2,Month-to-month,Basic,2,False
CX00143,28,Fintech,Paid Social,Mobile,50,Month-to-month,Basic,1,False
CX00144,36,Fintech,Paid Social,Mobile,12,Month-to-month,Premium,5,True
CX00145,38,News & Media,Paid Social,Mobile,47,Two year,Basic,2,False
CX00146,24,Fitness,Organic Search,Smart TV,1,Month-to-month,Standard,1,True
CX00147,18,Fintech,Referral,Desktop,14,Month-to-month,Basic,2,False
CX00148,38,Streaming,Organic Search,Tablet,13,Month-to-month,Standard,2,False
CX00149,26,Productivity,Organic Search,Mobile,43,Month-to-month,Plus,5,False
CX00150,29,Fintech,Organic Search,Smart TV,2,Month-to-month,Standard,4,True
CX00151,27,Fintech,Email Campaign,Desktop,36,Two year,Basic,2,False
CX00152,29,Fintech,Influencer,Smart TV,2,Month-to-month,Standard,4,False
CX00153,39,Productivity,Influencer,Mobile,2,Annual,Plus,7,True
CX00154,38,Fintech,Paid Social,Mobile,22,Month-to-month,Basic,2,False
CX00155,25,Fintech,Organic Search,Mobile,39,Annual,Basic,1,False
CX00156,48,Fintech,Organic Search,Mobile,9,Month-to-month,Standard,6,False
CX00157,36,Cloud Storage,Referral,Tablet,33,Annual,Standard,2,True
CX00158,29,Streaming,Referral,Mobile,7,Month-to-month,Basic,1,False
CX00159,34,News & Media,Organic Search,Mobile,26,Month-to-month,Plus,2,False
CX00160,46,Fintech,Organic Search,Mobile,8,Annual,Basic,1,False
CX00161,23,Fintech,Organic Search,Smart TV,9,Annual,Basic,1,False
CX00162,22,Productivity,App Store,Tablet,16,Month-to-month,Plus,3,False
CX00163,18,Cloud Storage,Paid Social,Desktop,18,Month-to-month,Standard,4,True
CX00164,49,Streaming,Organic Search,Desktop,63,Annual,Standard,6,False
CX00165,41,Gaming,Influencer,Mobile,34,Month-to-month,Basic,3,False
CX00166,26,Streaming,Paid Social,Desktop,12,Month-to-month,Standard,4,True
CX00167,31,Fintech,Organic Search,Desktop,27,Two year,Plus,4,False
CX00168,45,News & Media,Email Campaign,Mobile,25,Month-to-month,Basic,4,True
CX00169,28,Streaming,Influencer,Mobile,3,Month-to-month,Premium,4,False
CX00170,32,Fitness,Email Campaign,Tablet,21,Month-to-month,Standard,2,False
CX00171,38,Streaming,Organic Search,Mobile,33,Month-to-month,Plus,5,True
CX00172,25,Fintech,App Store,Desktop,54,Month-to-month,Basic,3,False
CX00173,49,Fintech,Email Campaign,Smart TV,40,Annual,Standard,4,False
CX00174,31,Cloud Storage,App Store,Desktop,56,Two year,Basic,2,False
CX00175,41,Productivity,Organic Search,Mobile,33,Two year,Standard,2,False
CX00176,29,Streaming,Organic Search,Mobile,7,Month-to-month,Premium,5,False
CX00177,29,Fintech,Paid Social,Desktop,30,Annual,Basic,1,False
CX00178,51,News & Media,App Store,Tablet,38,Month-to-month,Basic,1,False
CX00179,43,Gaming,Organic Search,Desktop,40,Annual,Basic,2,False
CX00180,43,Fitness,Organic Search,Desktop,53,Month-to-month,Standard,3,False
CX00181,41,Gaming,Referral,Mobile,32,Annual,Basic,2,False
CX00182,26,Fintech,App Store,Mobile,32,Annual,Basic,3,False
CX00183,41,Streaming,Influencer,Desktop,18,Annual,Basic,1,False
CX00184,36,Streaming,Email Campaign,Tablet,19,Two year,Standard,3,True
CX00185,35,Streaming,Organic Search,Tablet,9,Month-to-month,Basic,5,False
CX00186,35,Cloud Storage,Organic Search,Mobile,17,Annual,Basic,2,False
CX00187,37,Productivity,Organic Search,Mobile,34,Annual,Standard,5,False
CX00188,26,Productivity,Organic Search,Desktop,8,Month-to-month,Premium,6,False
CX00189,41,Gaming,Email Campaign,Desktop,9,Annual,Plus,3,True
CX00190,32,Streaming,Paid Social,Desktop,28,Month-to-month,Plus,2,False
CX00191,31,Streaming,Referral,Mobile,11,Month-to-month,Standard,5,False
CX00192,41,Streaming,App Store,Mobile,15,Month-to-month,Plus,3,False
CX00193,37,Streaming,Influencer,Mobile,15,Month-to-month,Plus,5,True
CX00194,35,Streaming,Organic Search,Desktop,25,Annual,Basic,2,False
CX00195,45,Productivity,App Store,Mobile,24,Annual,Plus,4,False
CX00196,37,Fintech,Organic Search,Smart TV,20,Month-to-month,Standard,4,False
CX00197,35,Fitness,App Store,Mobile,49,Two year,Standard,2,True
CX00198,37,Cloud Storage,App Store,Mobile,15,Month-to-month,Basic,3,True
CX00199,38,News & Media,Referral,Desktop,12,Month-to-month,Basic,3,True
CX00200,44,News & Media,App Store,Mobile,16,Month-to-month,Premium,7,False
CX00201,55,Fintech,Paid Social,Mobile,33,Annual,Standard,1,False
CX00202,47,Cloud Storage,App Store,Mobile,12,Annual,Basic,3,False
CX00203,48,News & Media,App Store,Mobile,9,Month-to-month,Standard,5,False
CX00204,30,Fintech,App Store,Smart TV,35,Annual,Plus,8,False
CX00205,18,Cloud Storage,Organic Search,Mobile,35,Annual,Basic,4,False
CX00206,34,Fitness,Paid Social,Desktop,44,Annual,Basic,1,False
CX00207,37,Fitness,Referral,Mobile,7,Month-to-month,Premium,3,True
CX00208,41,Fitness,Organic Search,Mobile,13,Month-to-month,Standard,3,False
CX00209,38,Streaming,Referral,Tablet,39,Two year,Standard,3,False
CX00210,30,Streaming,Organic Search,Mobile,24,Two year,Standard,2,False
CX00211,56,Productivity,Organic Search,Mobile,18,Month-to-month,Plus,4,True
CX00212,29,Productivity,Referral,Mobile,22,Annual,Basic,1,False
CX00213,20,Fintech,Referral,Mobile,9,Month-to-month,Standard,1,True
CX00214,24,Fitness,App Store,Desktop,24,Month-to-month,Basic,2,False
CX00215,43,Fintech,App Store,Mobile,80,Month-to-month,Standard,3,False
CX00216,54,Fitness,App Store,Desktop,19,Month-to-month,Standard,7,False
CX00217,26,Productivity,Referral,Mobile,24,Month-to-month,Basic,2,True
CX00218,50,Gaming,Organic Search,Mobile,34,Two year,Plus,2,True
CX00219,33,Cloud Storage,Referral,Mobile,39,Annual,Basic,1,True
CX00220,44,Productivity,Referral,Desktop,7,Month-to-month,Basic,2,False
CX00221,46,News & Media,Paid Social,Mobile,5,Month-to-month,Basic,2,True
CX00222,54,Fitness,Organic Search,Mobile,9,Month-to-month,Plus,5,False
CX00223,33,Streaming,Organic Search,Desktop,14,Annual,Basic,2,False
CX00224,29,Cloud Storage,Paid Social,Mobile,19,Month-to-month,Plus,1,False
CX00225,21,Streaming,App Store,Desktop,16,Month-to-month,Standard,2,True
CX00226,18,Streaming,Paid Social,Smart TV,16,Month-to-month,Standard,1,False
CX00227,52,Productivity,App Store,Tablet,9,Annual,Standard,2,True
CX00228,36,Streaming,Organic Search,Desktop,21,Two year,Standard,3,False
CX00229,25,Fintech,Email Campaign,Mobile,18,Annual,Plus,2,True
CX00230,18,News & Media,Organic Search,Mobile,30,Two year,Standard,5,False
CX00231,18,News & Media,Influencer,Desktop,14,Month-to-month,Plus,3,False
CX00232,31,News & Media,Organic Search,Mobile,18,Month-to-month,Standard,1,True
CX00233,40,Fitness,App Store,Mobile,13,Two year,Standard,5,False
CX00234,23,Gaming,Organic Search,Smart TV,29,Annual,Premium,5,True
CX00235,38,News & Media,Paid Social,Mobile,18,Month-to-month,Premium,2,False
CX00236,25,Productivity,App Store,Mobile,5,Month-to-month,Premium,4,False
CX00237,18,Cloud Storage,App Store,Mobile,39,Month-to-month,Standard,3,False
CX00238,34,Streaming,Paid Social,Desktop,13,Annual,Plus,5,False
CX00239,46,Cloud Storage,Organic Search,Smart TV,11,Month-to-month,Standard,2,False
CX00240,21,Productivity,Organic Search,Mobile,13,Month-to-month,Basic,1,False
CX00241,37,News & Media,Paid Social,Mobile,19,Annual,Basic,5,True
CX00242,21,Productivity,Paid Social,Mobile,23,Two year,Standard,2,False
CX00243,22,Fintech,Paid Social,Mobile,42,Two year,Basic,1,False
CX00244,33,Productivity,Referral,Mobile,5,Month-to-month,Basic,2,False
CX00245,31,Fintech,App Store,Mobile,11,Month-to-month,Basic,1,False
CX00246,18,Gaming,Referral,Mobile,17,Month-to-month,Basic,1,False
CX00247,42,Cloud Storage,Referral,Desktop,6,Month-to-month,Plus,2,True
CX00248,40,Streaming,Organic Search,Desktop,9,Month-to-month,Plus,4,False
CX00249,26,Productivity,Organic Search,Mobile,4,Month-to-month,Standard,4,False
CX00250,33,Productivity,Referral,Mobile,13,Month-to-month,Basic,1,False
CX00251,58,Fintech,Organic Search,Tablet,37,Two year,Premium,2,False
CX00252,36,Productivity,App Store,Mobile,12,Month-to-month,Basic,1,False
CX00253,21,Streaming,Paid Social,Mobile,12,Month-to-month,Premium,5,True
CX00254,25,Gaming,App Store,Mobile,21,Two year,Standard,5,True
CX00255,31,Cloud Storage,Paid Social,Desktop,42,Annual,Standard,1,True
CX00256,51,News & Media,Email Campaign,Mobile,8,Annual,Standard,3,True
CX00257,61,Streaming,Email Campaign,Tablet,20,Month-to-month,Standard,1,False
CX00258,51,Streaming,Paid Social,Tablet,18,Two year,Standard,3,True
CX00259,53,Cloud Storage,Influencer,Mobile,75,Two year,Premium,7,False
CX00260,57,Fintech,Paid Social,Desktop,17,Annual,Standard,4,False
CX00261,37,Cloud Storage,App Store,Mobile,48,Two year,Standard,2,False
CX00262,46,Productivity,App Store,Tablet,19,Month-to-month,Standard,4,True
CX00263,21,News & Media,Organic Search,Smart TV,30,Month-to-month,Basic,2,False
CX00264,22,Streaming,App Store,Smart TV,18,Annual,Basic,1,True
CX00265,31,Fitness,App Store,Desktop,23,Annual,Standard,1,False
CX00266,45,Fintech,Paid Social,Mobile,22,Month-to-month,Plus,3,False
CX00267,18,Streaming,App Store,Mobile,7,Month-to-month,Basic,1,False
CX00268,29,Productivity,Email Campaign,Mobile,9,Month-to-month,Plus,2,False
CX00269,35,Streaming,Organic Search,Mobile,73,Two year,Basic,2,False
CX00270,18,Gaming,App Store,Desktop,3,Month-to-month,Basic,2,False
CX00271,46,Streaming,Organic Search,Mobile,10,Month-to-month,Standard,1,False
CX00272,43,Cloud Storage,Organic Search,Smart TV,18,Two year,Plus,8,False
CX00273,29,Fintech,App Store,Mobile,45,Two year,Plus,3,False
CX00274,25,Fitness,Organic Search,Desktop,16,Annual,Plus,4,False
CX00275,36,News & Media,Organic Search,Mobile,19,Month-to-month,Premium,2,False
CX00276,34,Streaming,Organic Search,Mobile,11,Annual,Plus,8,True
CX00277,32,Productivity,Organic Search,Mobile,8,Month-to-month,Premium,4,False
CX00278,36,Cloud Storage,Organic Search,Mobile,37,Month-to-month,Premium,3,False
CX00279,28,Streaming,Paid Social,Smart TV,10,Month-to-month,Premium,8,True
CX00280,24,Fitness,Organic Search,Desktop,26,Month-to-month,Standard,1,False
CX00281,18,Gaming,Influencer,Tablet,40,Annual,Basic,1,False
CX00282,39,Cloud Storage,Paid Social,Desktop,13,Month-to-month,Standard,1,False
CX00283,25,Fintech,Paid Social,Mobile,14,Month-to-month,Premium,5,False
CX00284,29,Productivity,Organic Search,Tablet,37,Annual,Basic,2,False
CX00285,42,Gaming,Organic Search,Mobile,44,Two year,Standard,3,True
CX00286,39,Streaming,Paid Social,Mobile,21,Two year,Standard,3,True
CX00287,42,Fintech,Paid Social,Desktop,52,Annual,Basic,3,False
CX00288,35,Fintech,Referral,Mobile,22,Two year,Basic,1,True
CX00289,36,News & Media,Organic Search,Mobile,28,Month-to-month,Plus,1,False
CX00290,35,Streaming,Referral,Smart TV,21,Annual,Plus,3,False
CX00291,49,Streaming,Referral,Desktop,6,Month-to-month,Basic,2,False
CX00292,53,Fintech,Organic Search,Mobile,45,Month-to-month,Plus,3,False
CX00293,44,Productivity,Organic Search,Tablet,79,Two year,Premium,7,True
CX00294,28,Streaming,Influencer,Mobile,3,Month-to-month,Basic,2,False
CX00295,42,Productivity,Referral,Mobile,28,Annual,Plus,6,True
CX00296,46,Fitness,Influencer,Desktop,17,Month-to-month,Premium,6,False
CX00297,18,Gaming,Organic Search,Tablet,10,Month-to-month,Standard,6,True
CX00298,42,Streaming,Paid Social,Tablet,5,Month-to-month,Basic,2,True
CX00299,18,Fintech,Referral,Mobile,5,Month-to-month,Standard,6,False
CX00300,56,Fintech,Referral,Mobile,11,Annual,Standard,4,False
CX00301,27,Fintech,Paid Social,Mobile,21,Annual,Premium,3,False
CX00302,32,Streaming,App Store,Mobile,18,Month-to-month,Basic,2,False
CX00303,47,Cloud Storage,App Store,Desktop,29,Month-to-month,Basic,3,True
CX00304,25,Gaming,App Store,Mobile,13,Month-to-month,Basic,2,True
CX00305,37,Fintech,App Store,Smart TV,3,Month-to-month,Basic,4,False
CX00306,34,Fintech,Influencer,Mobile,12,Month-to-month,Premium,5,False
CX00307,38,Streaming,Organic Search,Tablet,10,Annual,Plus,4,False
CX00308,54,Fitness,Influencer,Mobile,20,Month-to-month,Plus,5,False
CX00309,22,Productivity,Referral,Mobile,2,Month-to-month,Standard,5,False
CX00310,43,Cloud Storage,App Store,Mobile,35,Month-to-month,Plus,3,False
CX00311,47,Streaming,Referral,Mobile,9,Month-to-month,Standard,2,False
CX00312,32,Gaming,Influencer,Smart TV,45,Annual,Standard,2,True
CX00313,48,Fitness,Organic Search,Smart TV,8,Month-to-month,Premium,8,False
CX00314,49,Streaming,Paid Social,Mobile,55,Two year,Basic,1,True
CX00315,46,News & Media,Organic Search,Mobile,6,Annual,Plus,7,False
CX00316,45,Cloud Storage,Paid Social,Desktop,17,Month-to-month,Standard,1,True
CX00317,35,Fintech,App Store,Mobile,17,Month-to-month,Basic,1,False
CX00318,52,Streaming,Referral,Mobile,24,Month-to-month,Basic,1,False
CX00319,44,Cloud Storage,App Store,Mobile,14,Month-to-month,Basic,2,False
CX00320,51,Fitness,Paid Social,Mobile,23,Month-to-month,Standard,2,True
CX00321,47,Fintech,Organic Search,Desktop,35,Annual,Plus,2,False
CX00322,33,Fintech,Organic Search,Mobile,17,Annual,Basic,1,False
CX00323,31,Productivity,App Store,Tablet,13,Month-to-month,Standard,4,True
CX00324,38,Fintech,Paid Social,Mobile,7,Annual,Standard,1,False
CX00325,27,Streaming,Paid Social,Mobile,33,Month-to-month,Plus,2,False
CX00326,32,Streaming,Paid Social,Tablet,18,Annual,Standard,5,False
CX00327,23,Gaming,Paid Social,Mobile,14,Month-to-month,Standard,2,True
CX00328,42,Cloud Storage,Paid Social,Mobile,38,Month-to-month,Plus,3,False
CX00329,45,Fitness,Organic Search,Mobile,41,Two year,Standard,3,False
CX00330,42,Fintech,Referral,Mobile,67,Annual,Premium,4,True
CX00331,22,Cloud Storage,Influencer,Mobile,11,Month-to-month,Premium,5,False
CX00332,31,News & Media,Paid Social,Desktop,12,Two year,Plus,5,False
CX00333,23,Productivity,App Store,Tablet,6,Month-to-month,Standard,3,False
CX00334,18,Productivity,Organic Search,Mobile,19,Annual,Plus,3,False
CX00335,63,Streaming,Email Campaign,Mobile,14,Annual,Standard,2,False
CX00336,47,Fintech,Paid Social,Mobile,15,Month-to-month,Premium,7,True
CX00337,29,Fintech,Paid Social,Tablet,30,Annual,Plus,7,False
CX00338,29,Streaming,Referral,Mobile,20,Month-to-month,Plus,2,False
CX00339,34,Streaming,Referral,Desktop,45,Two year,Standard,2,True
CX00340,37,Streaming,Paid Social,Mobile,39,Two year,Basic,1,True
CX00341,54,Fintech,Paid Social,Mobile,43,Two year,Basic,2,True
CX00342,48,Fintech,Referral,Tablet,15,Two year,Premium,4,False
CX00343,25,Productivity,Paid Social,Mobile,41,Month-to-month,Premium,2,False
CX00344,37,News & Media,Referral,Tablet,36,Annual,Basic,4,True
CX00345,41,Streaming,App Store,Desktop,10,Annual,Plus,6,True
CX00346,36,Cloud Storage,Paid Social,Mobile,31,Month-to-month,Plus,2,False
CX00347,40,Streaming,App Store,Mobile,9,Month-to-month,Standard,2,False
CX00348,35,Streaming,App Store,Smart TV,16,Month-to-month,Basic,3,True
CX00349,27,News & Media,Referral,Mobile,34,Month-to-month,Basic,3,True
CX00350,53,Streaming,Organic Search,Mobile,21,Annual,Premium,5,False
CX00351,36,Streaming,Influencer,Mobile,9,Month-to-month,Plus,4,False
CX00352,18,Streaming,Referral,Mobile,13,Annual,Basic,1,False
CX00353,32,Productivity,Influencer,Smart TV,12,Month-to-month,Standard,3,False
CX00354,19,Fintech,App Store,Desktop,1,Month-to-month,Standard,5,False
CX00355,43,Streaming,Referral,Mobile,25,Month-to-month,Plus,4,False
CX00356,47,Streaming,App Store,Mobile,20,Annual,Standard,5,False
CX00357,25,Fintech,Influencer,Mobile,44,Month-to-month,Plus,2,True
CX00358,35,Fintech,Influencer,Desktop,11,Month-to-month,Plus,4,True
CX00359,32,Fintech,App Store,Desktop,11,Month-to-month,Premium,6,False
CX00360,52,Productivity,Paid Social,Desktop,9,Month-to-month,Basic,1,False
CX00361,38,Productivity,App Store,Desktop,48,Annual,Premium,5,True
